,movies_title,director,vote_average,release_year,budget,revenue
0,Jurassic World,Colin Trevorrow,6.5,2015,137999939,1392445892
1,Mad Max: Fury Road,George Miller,7.1,2015,137999939,348161292
2,Insurgent,Robert Schwentke,6.3,2015,101199955,271619025
3,Star Wars: The Force Awakens,J.J. Abrams,7.5,2015,183999919,1902723129
4,Furious 7,James Wan,7.3,2015,174799923,1385748801
5,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,7.2,2015,124199945,490314247
6,Terminator Genisys,Alan Taylor,5.8,2015,142599937,405355075
7,The Martian,Ridley Scott,7.6,2015,99359956,547749654
8,Minions,Kyle Balda|Pierre Coffin,6.5,2015,68079970,1064192016
9,Inside Out,Pete Docter,8.0,2015,160999929,785411574
10,Spectre,Sam Mendes,6.2,2015,225399900,810220283
11,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,5.2,2015,161919931,169268630
12,Ex Machina,Alex Garland,7.6,2015,13799993,33919845
13,Pixels,Chris Columbus,5.8,2015,80959964,224146025
14,Avengers: Age of Ultron,Joss Whedon,7.4,2015,257599886,1292632336
15,The Hateful Eight,Quentin Tarantino,7.4,2015,40479982,143299244
16,Taken 3,Olivier Megaton,6.1,2015,44159980,299709578
17,Ant-Man,Peyton Reed,7.0,2015,119599947,477113780
18,Cinderella,Kenneth Branagh,6.8,2015,87399961,498963025
19,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,6.5,2015,147199935,598481289
20,Tomorrowland,Brad Bird,6.2,2015,174799923,192312729
21,Southpaw,Antoine Fuqua,7.3,2015,27599987,84373003
22,San Andreas,Brad Peyton,6.1,2015,101199955,432851374
23,Fifty Shades of Grey,Sam Taylor-Johnson,5.3,2015,36799983,524079119
24,The Big Short,Adam McKay,7.3,2015,25759988,122678731
25,Mission: Impossible - Rogue Nation,Christopher McQuarrie,7.1,2015,137999939,627743451
26,Ted 2,Seth MacFarlane,6.3,2015,62559972,198594430
27,Kingsman: The Secret Service,Matthew Vaughn,7.6,2015,74519967,371497801
28,Spotlight,Tom McCarthy,7.8,2015,18399991,81278719
29,Maze Runner: The Scorch Trials,Wes Ball,6.4,2015,56119975,286356245
30,Mr. Holmes,Bill Condon,6.4,2015,0,27006774
31,Chappie,Neill Blomkamp,6.6,2015,45079980,93903685
32,Pitch Perfect 2,Elizabeth Banks,6.8,2015,26679988,264505582
33,Bridge of Spies,Steven Spielberg,7.1,2015,36799983,149601569
34,Goosebumps,Rob Letterman,6.2,2015,53359976,138157089
35,Room,Lenny Abrahamson,8.0,2015,5519997,32569603
36,Solace,Afonso Poyart,6.2,2015,0,20566197
37,The Good Dinosaur,Peter Sohn,6.6,2015,160999929,305371920
38,Run All Night,Jaume Collet-Serra,6.3,2015,45999979,65836683
39,Brooklyn,John Crowley,7.3,2015,10119995,57110024
40,Straight Outta Compton,F. Gary Gray,7.7,2015,25759988,185504110
41,The Last Witch Hunter,Breck Eisner,5.6,2015,82799963,129164861
42,Steve Jobs,Danny Boyle,6.9,2015,27599987,31686509
43,The Man from U.N.C.L.E.,Guy Ritchie,7.0,2015,68999969,99493456
44,The Age of Adaline,Lee Toland Krieger,7.3,2015,22999989,39219376
45,Hardcore Henry,Ilya Naishuller,5.9,2015,9199995,13187080
46,Home,Tim Johnson,6.9,2015,124199945,339361177
47,Paper Towns,Jake Schreier,6.2,2015,11039995,78671281
48,Wild Card,Simon West,5.3,2015,27599987,0
49,The Lobster,Yorgos Lanthimos,6.6,2015,3679998,8339346
50,Carol,Todd Haynes,7.1,2015,10855995,37050347
51,The Intern,Nancy Meyers,7.1,2015,32199985,178999419
52,Everest,Baltasar KormÃ¡kur,6.7,2015,50599977,187153294
53,Joy,David O. Russell,6.4,2015,55199975,93043293
54,Point Break,Ericson Core,5.5,2015,96599957,123021159
55,Burnt,John Wells,6.3,2015,18399991,33678188
56,Self/less,Tarsem Singh,6.2,2015,23919989,28081355
57,Mortdecai,David Koepp,5.3,2015,55199975,27985062
58,The Danish Girl,Tom Hooper,7.3,2015,13799993,59056175
59,Blackhat,Michael Mann,5.0,2015,64399971,16332697
60,Sicario,Denis Villeneuve,7.1,2015,27599987,77303716
61,Fantastic Four,Josh Trank,4.4,2015,110399952,154539320
62,The Witch,Robert Eggers,5.8,2015,3219998,37190013
63,Spy,Paul Feig,6.9,2015,59799973,216812826
64,Focus,Glenn Ficarra|John Requa,6.7,2015,46091979,141645863
65,Hitman: Agent 47,Aleksander Bach,5.5,2015,32199985,75759810
66,In the Heart of the Sea,Ron Howard,6.4,2015,91999959,86315059
67,Survivor,James McTeigue,5.4,2015,18399991,0
68,Creed,Ryan Coogler,7.3,2015,32199985,126900665
69,Trainwreck,Judd Apatow,6.1,2015,32199985,129532072
70,Eye in the Sky,Gavin Hood,7.2,2015,11959994,30220316
71,Legend,Brian Helgeland,6.7,2015,22999989,39535137
